domain,agency
alabama.gov,State of Alabama
yas.gov.in, Youth Affairs and Sports
data.gov.in,Open Government Data Platform India
krishimaratavahini.kar.nic.in,Agricultural Marketing Department - Karnataka
agrimarketing.telangana.gov.in,Agricultural Marketing Department - Telangana
imdagrimet.gov.in,Agricultural Meteorology Division
megapib.nic.in,Agricultural Planning and Information Bank(APIB) - East Khasi Hills District - Meghalaya
asrb.org.in,Agricultural Scientists Recruitment Board (ASRB) - New Delhi
atic-icarneh.nic.in,Agricultural Technology Information Centre (ATIC)
atma.gujarat.gov.in,Agricultural Technology Management Agency (ATMA) Directorate and SAMETI - Gujarat
jkatma.nic.in,Agricultural Technology Management Agency (ATMA) - Government of Jammu and Kashmir
atmakohima.nic.in,Agricultural Technology Management Agency (ATMA) - Kohima - Nagaland
jharkhand.gov.in,Agriculture - Animal Husbandry and Co-operative Department - Jharkhand
agri.and.nic.in,Agriculture Department - Andaman and Nicobar
krishi.bih.nic.in,Agriculture Department - Bihar
agriharyana.gov.in,Agriculture Department - Haryana
hpagriculture.com,Agriculture Department - Himachal Pradesh
diragrijmu.nic.in,Agriculture Department - Jammu and Kashmir
raitamitra.kar.nic.in,Agriculture Department - Karnataka
krishi.rajasthan.gov.in,Agriculture Department - Krishi - Rajasthan
krishi.maharashtra.gov.in,Agriculture Department - Maharashtra
megagriculture.gov.in,Agriculture Department - Meghalaya
agriculturemizoram.nic.in,Agriculture Department - Mizoram
agringl.nic.in,Agriculture Department - Nagaland
agri.py.gov.in,Agriculture Department - Puducherry
agri.tripura.gov.in,Agriculture Department - Tripura
agriculture.uk.gov.in,Agriculture Department - Uttarakhand
agri.gujarat.gov.in,Agriculture - Farmers Welfare and Cooperation Department - Gujarat
agmarknet.gov.in,Agriculture Marketing Information System Network (AGMARKNET)
krishiutpadan.up.nic.in,Agriculture Production Commissioner - Uttar Pradesh
jkapd.nic.in,Agriculture Production Department - Jammu and Kashmir
spicebioinfo.res.in,Bioinformatics Centre - Indian Institute of Spices Research (IISR) - Calicut
biotechcommission.kerala.gov.in,Biotechnology Commission - Kerala
cau.ac.in,Central Agricultural University - Imphal - Manipur
fmttibudni.gov.in,Central Farm Machinery Training and Testing Institute - Budni
cfqcti.dacnet.nic.in,Central Fertilizer Quality Control and Training Institute
cgwb.gov.in,Central Ground Water Board - Northern Region - Lucknow
cibrc.gov.in,Central Insecticides Board and Registration Committee
cish.res.in,Central Institute for Subtropical Horticulture (CISH) - Lucknow - Uttar Pradesh
ciae.nic.in,Central Institute of Agricultural Engineering (CIAE)
cihner.gov.in,Central Institute of Horticulture - Nagaland
cipmcjk.nic.in,Central Integrated Pest Management Centre (CIPMC)
csgrc.res.in,Central Sericultural Germplasm Resources Centre (CSGRC) - Hosur - Tamilnadu
