domain,redirect,agency,status,title,description,keywords,robots,content_security_policy,viewport,canonical,og_locale,og_site_name,og_type,og_title,og_description,og_url,og_image,og_image_width,og_image_height,og_image_alt,twitter_site,twitter_card,twitter_title,twitter_description,twitter_image
cipmcjk.nic.in,"undefined","Central Integrated Pest Management Centre (CIPMC)",404,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
ciae.nic.in,"undefined","Central Institute of Agricultural Engineering (CIAE)",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cihner.gov.in,"https://cihner.gov.in/","Central Institute of Horticulture - Nagaland",200,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
csgrc.res.in,"https://csgrc.res.in/","Central Sericultural Germplasm Resources Centre (CSGRC) - Hosur - Tamilnadu",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cibrc.gov.in,"undefined","Central Insecticides Board and Registration Committee",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cfqcti.dacnet.nic.in,"undefined","Central Fertilizer Quality Control and Training Institute",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cgwb.gov.in,"https://cgwb.gov.in/","Central Ground Water Board - Northern Region - Lucknow",200,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
fmttibudni.gov.in,"undefined","Central Farm Machinery Training and Testing Institute - Budni",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cau.ac.in,"https://cau.ac.in/","Central Agricultural University - Imphal - Manipur",200,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
cish.res.in,"undefined","Central Institute for Subtropical Horticulture (CISH) - Lucknow - Uttar Pradesh",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
spicebioinfo.res.in,"undefined","Bioinformatics Centre - Indian Institute of Spices Research (IISR) - Calicut",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jkapd.nic.in,"https://jkapd.nic.in/","Agriculture Production Department - Jammu and Kashmir",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
krishiutpadan.up.nic.in,"undefined","Agriculture Production Commissioner - Uttar Pradesh",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agmarknet.gov.in,"https://agmarknet.gov.in/","Agriculture Marketing Information System Network (AGMARKNET)",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agri.gujarat.gov.in,"https://agri.gujarat.gov.in/Index","Agriculture - Farmers Welfare and Cooperation Department - Gujarat",200,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agriculture.uk.gov.in,"https://agriculture.uk.gov.in/","Agriculture Department - Uttarakhand",200,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agri.tripura.gov.in,"https://agri.tripura.gov.in/","Agriculture Department - Tripura",200,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agri.py.gov.in,"https://agri.py.gov.in/","Agriculture Department - Puducherry",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agringl.nic.in,"undefined","Agriculture Department - Nagaland",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agriculturemizoram.nic.in,"https://agriculturemizoram.nic.in/","Agriculture Department - Mizoram",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
megagriculture.gov.in,"https://megagriculture.gov.in/","Agriculture Department - Meghalaya",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
krishi.rajasthan.gov.in,"undefined","Agriculture Department - Krishi - Rajasthan",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
raitamitra.kar.nic.in,"undefined","Agriculture Department - Karnataka",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
diragrijmu.nic.in,"undefined","Agriculture Department - Jammu and Kashmir",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
hpagriculture.com,"undefined","Agriculture Department - Himachal Pradesh",403,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agriharyana.gov.in,"https://agriharyana.gov.in/","Agriculture Department - Haryana",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
krishi.bih.nic.in,"undefined","Agriculture Department - Bihar",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
agri.and.nic.in,"https://agri.and.nic.in/","Agriculture Department - Andaman and Nicobar",200,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
krishi.maharashtra.gov.in,"https://krishi.maharashtra.gov.in/","Agriculture Department - Maharashtra",200,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
atmakohima.nic.in,"undefined","Agricultural Technology Management Agency (ATMA) - Kohima - Nagaland",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jharkhand.gov.in,"https://jharkhand.gov.in/","Agriculture - Animal Husbandry and Co-operative Department - Jharkhand",200,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
atma.gujarat.gov.in,"https://atma.gujarat.gov.in/Index","Agricultural Technology Management Agency (ATMA) Directorate and SAMETI - Gujarat",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
atic-icarneh.nic.in,"undefined","Agricultural Technology Information Centre (ATIC)",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
asrb.org.in,"https://asrb.org.in/","Agricultural Scientists Recruitment Board (ASRB) - New Delhi",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
megapib.nic.in,"undefined","Agricultural Planning and Information Bank(APIB) - East Khasi Hills District - Meghalaya",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
imdagrimet.gov.in,"https://imdagrimet.gov.in/","Agricultural Meteorology Division",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
biotechcommission.kerala.gov.in,"undefined","Biotechnology Commission - Kerala",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
krishimaratavahini.kar.nic.in,"undefined","Agricultural Marketing Department - Karnataka",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
data.gov.in,"https://www.data.gov.in/","Open Government Data Platform India",200,true,true,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false
agrimarketing.telangana.gov.in,"undefined","Agricultural Marketing Department - Telangana",404,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
yas.gov.in,"undefined"," Youth Affairs and Sports",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
alabama.gov,"https://www.alabama.gov/","State of Alabama",200,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
jkatma.nic.in,"undefined","Agricultural Technology Management Agency (ATMA) - Government of Jammu and Kashmir",500,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
