domain,agency,status,redirect,valid,sitemap,allowed,source
cipmcjk.nic.in,"Central Integrated Pest Management Centre (CIPMC)",404,"http://www.cipmcjk.nic.in/",false,"null",false,undefined
ciae.nic.in,"Central Institute of Agricultural Engineering (CIAE)",500,"http://www.ciae.nic.in/",false,"null",false,undefined
cihner.gov.in,"Central Institute of Horticulture - Nagaland",200,"https://cihner.gov.in/robots.txt",true,"null",true,robots.txt
csgrc.res.in,"Central Sericultural Germplasm Resources Centre (CSGRC) - Hosur - Tamilnadu",404,"https://csgrc.res.in/robots.txt",false,"null",false,false
cibrc.gov.in,"Central Insecticides Board and Registration Committee",500,"http://www.cibrc.gov.in/",false,"null",false,undefined
cfqcti.dacnet.nic.in,"Central Fertilizer Quality Control and Training Institute",500,"http://www.cfqcti.dacnet.nic.in/",false,"null",false,undefined
fmttibudni.gov.in,"Central Farm Machinery Training and Testing Institute - Budni",500,"https://fmttibudni.gov.in/",false,"null",false,undefined
cish.res.in,"Central Institute for Subtropical Horticulture (CISH) - Lucknow - Uttar Pradesh",500,"http://www.cish.res.in/",false,"null",false,undefined
cau.ac.in,"Central Agricultural University - Imphal - Manipur",200,"https://cau.ac.in/robots.txt",true,"null",true,robots.txt
spicebioinfo.res.in,"Bioinformatics Centre - Indian Institute of Spices Research (IISR) - Calicut",500,"http://www.spicebioinfo.res.in/",false,"null",false,undefined
jkapd.nic.in,"Agriculture Production Department - Jammu and Kashmir",404,"https://jkapd.nic.in/robots.txt",false,"null",false,false
krishiutpadan.up.nic.in,"Agriculture Production Commissioner - Uttar Pradesh",500,"http://www.krishiutpadan.up.nic.in/",false,"null",false,undefined
agmarknet.gov.in,"Agriculture Marketing Information System Network (AGMARKNET)",200,"https://agmarknet.gov.in/Error.aspx?aspxerrorpath=/robots.txt",true,"null",true,robots.txt
cgwb.gov.in,"Central Ground Water Board - Northern Region - Lucknow",200,"https://cgwb.gov.in/robots.txt",true,"null",true,robots.txt
agri.gujarat.gov.in,"Agriculture - Farmers Welfare and Cooperation Department - Gujarat",404,"https://agri.gujarat.gov.in/robots.txt",true,"null",true,false
agriculture.uk.gov.in,"Agriculture Department - Uttarakhand",404,"https://agriculture.uk.gov.in/robots.txt",false,"null",false,false
agri.py.gov.in,"Agriculture Department - Puducherry",404,"https://agri.py.gov.in/robots.txt",false,"null",false,false
agringl.nic.in,"Agriculture Department - Nagaland",500,"http://www.agringl.nic.in/",false,"null",false,undefined
agriculturemizoram.nic.in,"Agriculture Department - Mizoram",404,"https://agriculturemizoram.nic.in/robots.txt",false,"null",false,false
megagriculture.gov.in,"Agriculture Department - Meghalaya",404,"https://megagriculture.gov.in/robots.txt",false,"null",false,false
agri.tripura.gov.in,"Agriculture Department - Tripura",200,"https://agri.tripura.gov.in/robots.txt",true,"null",true,robots.txt
krishi.rajasthan.gov.in,"Agriculture Department - Krishi - Rajasthan",500,"http://www.krishi.rajasthan.gov.in/",false,"null",false,undefined
raitamitra.kar.nic.in,"Agriculture Department - Karnataka",500,"http://www.raitamitra.kar.nic.in/",false,"null",false,undefined
