domain,agency,status,redirect,xml,items,pdfs,completion
cipmcjk.nic.in,"Central Integrated Pest Management Centre (CIPMC)",404,"undefined",false,0,0,0
ciae.nic.in,"Central Institute of Agricultural Engineering (CIAE)",500,"undefined",false,0,0,0
cihner.gov.in,"Central Institute of Horticulture - Nagaland",200,"https://cihner.gov.in/sitemap.xml",true,300,57,0.6293706293706294
csgrc.res.in,"Central Sericultural Germplasm Resources Centre (CSGRC) - Hosur - Tamilnadu",404,"https://csgrc.res.in/sitemap.xml",false,0,0,1
cibrc.gov.in,"Central Insecticides Board and Registration Committee",500,"undefined",false,0,0,0
cfqcti.dacnet.nic.in,"Central Fertilizer Quality Control and Training Institute",500,"undefined",false,0,0,0
fmttibudni.gov.in,"Central Farm Machinery Training and Testing Institute - Budni",500,"undefined",false,0,0,0
cish.res.in,"Central Institute for Subtropical Horticulture (CISH) - Lucknow - Uttar Pradesh",500,"undefined",false,0,0,0
cau.ac.in,"Central Agricultural University - Imphal - Manipur",404,"https://cau.ac.in/sitemap.xml",false,0,0,0
spicebioinfo.res.in,"Bioinformatics Centre - Indian Institute of Spices Research (IISR) - Calicut",500,"undefined",false,0,0,0
jkapd.nic.in,"Agriculture Production Department - Jammu and Kashmir",404,"https://jkapd.nic.in/sitemap.xml",false,0,0,0
krishiutpadan.up.nic.in,"Agriculture Production Commissioner - Uttar Pradesh",500,"undefined",false,0,0,0
cgwb.gov.in,"Central Ground Water Board - Northern Region - Lucknow",404,"https://cgwb.gov.in/sitemap.xml",false,0,0,0
agmarknet.gov.in,"Agriculture Marketing Information System Network (AGMARKNET)",200,"https://agmarknet.gov.in/Error.aspx?aspxerrorpath=/sitemap.xml",false,0,5,0
agri.gujarat.gov.in,"Agriculture - Farmers Welfare and Cooperation Department - Gujarat",404,"https://agri.gujarat.gov.in/sitemap.xml",false,0,0,0
agriculture.uk.gov.in,"Agriculture Department - Uttarakhand",404,"https://agriculture.uk.gov.in/sitemap.xml",false,0,0,0
agri.py.gov.in,"Agriculture Department - Puducherry",404,"https://agri.py.gov.in/sitemap.xml",false,0,0,0
agringl.nic.in,"Agriculture Department - Nagaland",500,"undefined",false,0,0,0
agriculturemizoram.nic.in,"Agriculture Department - Mizoram",404,"https://agriculturemizoram.nic.in/sitemap.xml",false,0,0,1
megagriculture.gov.in,"Agriculture Department - Meghalaya",404,"https://megagriculture.gov.in/sitemap.xml",false,0,0,0
agri.tripura.gov.in,"Agriculture Department - Tripura",404,"https://agri.tripura.gov.in/sitemap.xml",false,0,0,0
krishi.rajasthan.gov.in,"Agriculture Department - Krishi - Rajasthan",500,"undefined",false,0,0,0
raitamitra.kar.nic.in,"Agriculture Department - Karnataka",500,"undefined",false,0,0,0
diragrijmu.nic.in,"Agriculture Department - Jammu and Kashmir",500,"undefined",false,0,0,0
hpagriculture.com,"Agriculture Department - Himachal Pradesh",403,"undefined",false,0,0,0
agriharyana.gov.in,"Agriculture Department - Haryana",404,"https://agriharyana.gov.in/sitemap.xml",false,0,0,0
krishi.bih.nic.in,"Agriculture Department - Bihar",500,"undefined",false,0,0,0
agri.and.nic.in,"Agriculture Department - Andaman and Nicobar",404,"https://agri.and.nic.in/sitemap.xml",false,0,0,0
krishi.maharashtra.gov.in,"Agriculture Department - Maharashtra",302,"https://krishi.maharashtra.gov.in/App_Error.aspx?ErrorCode=404",false,0,0,0
atmakohima.nic.in,"Agricultural Technology Management Agency (ATMA) - Kohima - Nagaland",500,"undefined",false,0,0,0
jharkhand.gov.in,"Agriculture - Animal Husbandry and Co-operative Department - Jharkhand",200,"https://jharkhand.gov.in/sitemap.xml",true,500,12,0.7857142857142857
atma.gujarat.gov.in,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI - Gujarat",404,"https://atma.gujarat.gov.in/sitemap.xml",false,0,0,0
atic-icarneh.nic.in,"Agricultural Technology Information Centre (ATIC)",500,"undefined",false,0,0,0
asrb.org.in,"Agricultural Scientists Recruitment Board (ASRB) - New Delhi",404,"https://asrb.org.in/sitemap.xml",false,0,0,0
megapib.nic.in,"Agricultural Planning and Information Bank(APIB) - East Khasi Hills District - Meghalaya",500,"undefined",false,0,0,0
imdagrimet.gov.in,"Agricultural Meteorology Division",404,"https://imdagrimet.gov.in/sitemap.xml",false,0,0,0
biotechcommission.kerala.gov.in,"Biotechnology Commission - Kerala",500,"undefined",false,0,0,0
krishimaratavahini.kar.nic.in,"Agricultural Marketing Department - Karnataka",500,"undefined",false,0,0,0
agrimarketing.telangana.gov.in,"Agricultural Marketing Department - Telangana",404,"undefined",false,0,0,0
yas.gov.in," Youth Affairs and Sports",500,"undefined",false,0,0,0
jkatma.nic.in,"Agricultural Technology Management Agency (ATMA) - Government of Jammu and Kashmir",500,"undefined",false,0,0,0
data.gov.in,"Open Government Data Platform India",500,"https://www.data.gov.in/sitemap.xml",false,0,0,0
alabama.gov,"State of Alabama",200,"https://www.alabama.gov/sitemap.xml",false,0,0,1
