domain,agency,status,redirect,https,dot_gov,www
cipmcjk.nic.in,"Central Integrated Pest Management Centre (CIPMC)",404,"http://www.cipmcjk.nic.in/",false,false,false
ciae.nic.in,"Central Institute of Agricultural Engineering (CIAE)",500,"http://www.ciae.nic.in/",false,false,false
cihner.gov.in,"Central Institute of Horticulture - Nagaland",200,"https://cihner.gov.in/",true,false,false
csgrc.res.in,"Central Sericultural Germplasm Resources Centre (CSGRC) - Hosur - Tamilnadu",200,"https://csgrc.res.in/",true,false,false
cibrc.gov.in,"Central Insecticides Board and Registration Committee",500,"http://www.cibrc.gov.in/",false,false,false
cfqcti.dacnet.nic.in,"Central Fertilizer Quality Control and Training Institute",500,"http://www.cfqcti.dacnet.nic.in/",false,false,false
cgwb.gov.in,"Central Ground Water Board - Northern Region - Lucknow",200,"https://cgwb.gov.in/",true,false,false
fmttibudni.gov.in,"Central Farm Machinery Training and Testing Institute - Budni",500,"https://fmttibudni.gov.in/",true,false,false
cau.ac.in,"Central Agricultural University - Imphal - Manipur",200,"https://cau.ac.in/",true,false,true
cish.res.in,"Central Institute for Subtropical Horticulture (CISH) - Lucknow - Uttar Pradesh",500,"http://www.cish.res.in/",false,false,false
spicebioinfo.res.in,"Bioinformatics Centre - Indian Institute of Spices Research (IISR) - Calicut",500,"http://www.spicebioinfo.res.in/",false,false,false
jkapd.nic.in,"Agriculture Production Department - Jammu and Kashmir",200,"https://jkapd.nic.in/",true,false,false
krishiutpadan.up.nic.in,"Agriculture Production Commissioner - Uttar Pradesh",500,"http://www.krishiutpadan.up.nic.in/",false,false,false
agmarknet.gov.in,"Agriculture Marketing Information System Network (AGMARKNET)",200,"https://agmarknet.gov.in/",true,false,false
agri.gujarat.gov.in,"Agriculture - Farmers Welfare and Cooperation Department - Gujarat",200,"https://agri.gujarat.gov.in/Index",true,false,false
agriculture.uk.gov.in,"Agriculture Department - Uttarakhand",200,"https://agriculture.uk.gov.in/",true,false,false
agri.tripura.gov.in,"Agriculture Department - Tripura",200,"https://agri.tripura.gov.in/",true,false,false
agri.py.gov.in,"Agriculture Department - Puducherry",200,"https://agri.py.gov.in/",true,false,false
agringl.nic.in,"Agriculture Department - Nagaland",500,"http://www.agringl.nic.in/",false,false,false
agriculturemizoram.nic.in,"Agriculture Department - Mizoram",200,"https://agriculturemizoram.nic.in/",true,false,false
megagriculture.gov.in,"Agriculture Department - Meghalaya",200,"https://megagriculture.gov.in/",true,false,true
krishi.rajasthan.gov.in,"Agriculture Department - Krishi - Rajasthan",500,"http://www.krishi.rajasthan.gov.in/",false,false,false
raitamitra.kar.nic.in,"Agriculture Department - Karnataka",500,"http://www.raitamitra.kar.nic.in/",false,false,false
diragrijmu.nic.in,"Agriculture Department - Jammu and Kashmir",500,"http://www.diragrijmu.nic.in/",false,false,false
hpagriculture.com,"Agriculture Department - Himachal Pradesh",403,"https://aps-csb.in/",true,false,false
agriharyana.gov.in,"Agriculture Department - Haryana",200,"https://agriharyana.gov.in/",true,false,false
krishi.bih.nic.in,"Agriculture Department - Bihar",500,"http://www.krishi.bih.nic.in/",false,false,false
agri.and.nic.in,"Agriculture Department - Andaman and Nicobar",200,"https://agri.and.nic.in/",true,false,false
krishi.maharashtra.gov.in,"Agriculture Department - Maharashtra",200,"https://krishi.maharashtra.gov.in/",true,false,false
atmakohima.nic.in,"Agricultural Technology Management Agency (ATMA) - Kohima - Nagaland",500,"http://www.atmakohima.nic.in/",false,false,false
jharkhand.gov.in,"Agriculture - Animal Husbandry and Co-operative Department - Jharkhand",200,"https://jharkhand.gov.in/",true,false,false
atma.gujarat.gov.in,"Agricultural Technology Management Agency (ATMA) Directorate and SAMETI - Gujarat",200,"https://atma.gujarat.gov.in/Index",true,false,false
atic-icarneh.nic.in,"Agricultural Technology Information Centre (ATIC)",500,"http://www.atic-icarneh.nic.in/",false,false,false
asrb.org.in,"Agricultural Scientists Recruitment Board (ASRB) - New Delhi",200,"https://asrb.org.in/",true,false,false
megapib.nic.in,"Agricultural Planning and Information Bank(APIB) - East Khasi Hills District - Meghalaya",500,"http://www.megapib.nic.in/",false,false,false
imdagrimet.gov.in,"Agricultural Meteorology Division",200,"https://imdagrimet.gov.in/",true,false,false
biotechcommission.kerala.gov.in,"Biotechnology Commission - Kerala",500,"http://www.biotechcommission.kerala.gov.in/",false,false,false
krishimaratavahini.kar.nic.in,"Agricultural Marketing Department - Karnataka",500,"http://www.krishimaratavahini.kar.nic.in/",false,false,false
data.gov.in,"Open Government Data Platform India",200,"https://www.data.gov.in/",true,false,true
agrimarketing.telangana.gov.in,"Agricultural Marketing Department - Telangana",404,"http://www.agrimarketing.telangana.gov.in/",false,false,false
yas.gov.in," Youth Affairs and Sports",500,"https://www.yas.gov.in/",true,false,false
alabama.gov,"State of Alabama",200,"https://www.alabama.gov/",true,true,true
jkatma.nic.in,"Agricultural Technology Management Agency (ATMA) - Government of Jammu and Kashmir",500,"http://www.jkatma.nic.in/",false,false,false
